P_Organization_Code,P_Origin_Site,P_Order_Delivery_Type,P_Item_Id2,P_Item_Line_Id,P_Required_Quantity,P_Reserved_Quantity,P_Concept,P_Ship_Node,P_Reservation_Id
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200883_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200884_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200885_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200886_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200887_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200888_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200889_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200890_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200891_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200892_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200893_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200894_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200895_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200896_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200897_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200898_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200899_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200900_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200901_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200902_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200903_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200904_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200905_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200906_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200907_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200908_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200909_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200910_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200911_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200912_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200913_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200914_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200915_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200916_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200917_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200918_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200919_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200920_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200921_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200922_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200923_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200924_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200925_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200926_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200927_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200928_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200929_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200930_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200931_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200932_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200933_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200934_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200935_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200936_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200937_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200938_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200939_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200940_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200941_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200942_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200943_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200944_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200945_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200946_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200947_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200948_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200949_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200950_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200951_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200952_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200953_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200954_00
LMG_UAE,21,CC,154563089,1,1,0,1,21006,AE_21006555201420200955_00
